conservation_id,location,Latitude,Longitude
C001,Aceh Jaya,4.7875,95.6458
C002,Takalar,-5.4167,119.5167
C003,Tanah Laut,-3.7694,114.8093
C004,Lampung Barat,-5.1095,104.1931
C005,Bengkulu Utara,-3.4211,102.0775
C006,Labuhan Batu,2.3444,100.1703
C007,Minahasa Selatan,1.0945,124.4642
C008,Seram Bagian Barat,-3.1272,128.4008
C009,Merauke,-8.4991,140.404
C010,Kubu Raya,-0.3534,109.4735
C011,Pontianak,-0.0263,109.3425
C012,Karawang,-6.3227,107.3376
C013,Banyuwangi,-8.2192,114.3692
C014,Sampit,-2.5395,112.9496
C015,Sampang,-7.1944,113.2394
C016,Pekalongan,-6.8898,109.6746
C017,Serang,-6.1168,106.151
C018,Tegal,-6.8797,109.1256
C019,Jember,-8.1845,113.6681
C020,Blitar,-8.0955,112.1609
